global_emp_id,gender,unified_grade,city,sub_bu,ijp_90_days,tenure,bench_ageing,marital_status,education_score,leaves,employee_status,months_since_last_promotion,payposition_2021,report_month,tenure_in_capgemini_yr,average_rating,rating_diff,pred,Retention_Probability,Termination_Probability
CXxn7R+lrjbG+xaLxhHbjw==,Male,B1,Chennai,BPS Oracle,0,4.008295858,0,Single,53,4,1,25.00256679,0.871745763,1,17,2.5,1,1,0.152093362,0.847906638
09P7k3pMRBMUXMqKzwypJA==,Male,B1,Bangalore,BPS Core BI,0,7.983736832,0,Single,53,1,1,19.05583277,0.895608475,1,16,3,0,0,0.595240815,0.404759185
LfvcO9F8BZux6GBY8ZOB0g==,Female,B1,Kolkata,BPS Oracle,0,0.985646523,0,Single,53,5,1,19.05583277,0.859854237,1,16,3,0,1,0.302694387,0.697305613
XkRW0T6ZIcU0j9J9547DYw==,Male,B1,Bangalore,BPS Oracle,0,18.59586439,0,Single,53,4,1,16.03318343,0.859854237,1,16,3,0,1,0.264975664,0.735024336
s7HYhfzRp3OQPHQAUJPlnQ==,Female,B1,Bangalore,BPS Cloud Data Platform,0,3.285488408,0,Single,53,1.25,1,16.03318343,0.968613559,1,16,1.5,1,1,0.279061005,0.720938995
Q+98sbtVB3CFGD7rCdAW7A==,Male,B1,Bangalore,BPS Cloud Data Platform,0,22.04562722,0,Single,53,0,1,16.03318343,0.860715254,1,16,2.5,-1,1,0.401552266,0.598447734
6AYFELjZiClp1U4WVzhYJA==,Female,B1,Chennai,BPS DM,0,0,0,Single,53,5,1,7.030945194,0.832662712,1,16,3,0,1,0.304297897,0.695702103
XCxWEkKNz29BZ2trOn12YA==,Male,B2,Pune,BPS Big Data,0,0.985646523,0,Marr.,53,1.444444444,1,328.5488408,0.830664773,1,16,3,0,0,0.564981965,0.435018035
C4duWA+h/AnDrNEKvHRA3w==,Male,B1,Bangalore,BPS DM,0,29.96365428,0,Single,53,1.5,1,22.04562722,0.899698305,1,16,2.5,1,1,0.360954082,0.639045918
tnSxdyM5dYi5uQTHNIPUXg==,Male,B2,Kolkata,BPS Big Data,0,0.854226986,0,Marr.,81,8,1,19.05583277,0.847872727,1,16,2.5,-1,1,0.235946212,0.764053788
KpnMGWzwxYp0+S5oXpQ7eQ==,Female,B1,Chennai,BPS ECM,0,4.172570279,0,Single,53,2,1,19.05583277,0.851925424,1,16,3,0,1,0.336724144,0.663275856
Qz+4BQTRXyE5Okh6I7Zxpg==,Male,B3,Bangalore,BPS DM,0,9.002238239,0,Marr.,53,0.4,1,7.030945194,0.86132567,1,16,2.5,1,0,0.739253616,0.260746384
yw6F+yuO2o8pUE1eihajng==,Female,B1,Bangalore,BPS MDM,0,0,0,Single,53,2,1,31.04786546,0.851923729,1,16,3,0,1,0.445410755,0.554589245
x7blDTW8XmCICY/bMbszOQ==,Male,B3,Chennai,BPS DM,0,0,0,Single,53,1.75,1,7.030945194,0.704099617,1,16,2.5,1,1,0.416248144,0.583751856
aJ8tMi/bI+DqFBL4yHcHxA==,Male,B1,Chennai,BPS ECM,0,0.985646523,0,Single,53,0.6,1,22.04562722,0.956147458,1,16,1.5,-1,1,0.488438205,0.511561795
tJJ2FCII9GplDrZaAZST1Q==,Male,B3,Bangalore,BPS Core BI,0,3.482617713,0,Not Available,53,0,0,0,0.927177535,1,14,3,0,0,0.986969174,0.013030826
wEn9sKleXPHtzDyuxkwdrA==,Female,A5,Chennai,BPS Big Data,0,0,0,Single,53,1.5,1,7.030945194,0.83446383,1,14,3,0,0,0.646222918,0.353777082
4vdw6MMC/qLK3tXX7eNFeg==,Female,A5,Chennai,BPS Big Data,0,0.845684716,0,Single,53,0.5,1,7.030945194,0.83446383,1,14,3,0,0,0.777711019,0.222288981
Ud8UovpXZuLvSkc+XeZEmQ==,Female,B2,Chennai,BPS Big Data,0,0.985646523,0,Single,53,11,1,328.5488408,1.209385227,1,14,3,0,1,0.235055029,0.764944971
HS448M2tH5dGmks5noRcPA==,Male,B2,Kolkata,BPS Cloud Data Platform,0,1.177519046,0,Single,53,1.5,1,328.5488408,1.083032955,1,14,2,-2,1,0.340332793,0.659667207
LSA83qtRhIVAss6wMpYTPg==,Male,B2,Mumbai,BPS MDM,0,0,0,Single,53,0,1,328.5488408,1.140456818,1,14,3,0,0,0.710243136,0.289756864
V5xgGDTeVUnLhg2T6g0ScA==,Male,B2,Chennai,BPS Cloud Data Platform,0,13.99618062,0,Single,53,4.333333333,1,328.5488408,1.314496591,1,14,3,0,0,0.833842867,0.166157133
bMsS1x8S+kJywFdaFnVZOA==,Male,B2,Chennai,BPS Cloud Data Platform,0,1.971293045,0,Marr.,53,1.25,1,328.5488408,1.216142045,1,14,3,0,0,0.694621124,0.305378876
sxn7uCMNtF9Ch0jTXAbb5Q==,Male,B2,Bangalore,BPS DM,0,0,0,Single,53,0,0,328.5488408,0.937268182,1,14,3,0,0,0.790814113,0.209185887
Lv9Cwq77Ss7Jw5GOHlIf/w==,Female,B2,Chennai,BPS Cloud Data Platform,0,2.956939568,0,Single,53,0,0,328.5488408,0.980373864,1,14,3,0,0,0.583477198,0.416522802
bfZd83K2fE4jPOKLpz0zWQ==,Female,B1,Pune,BPS Oracle,0,0.985646523,0,Single,53,0,0,328.5488408,1.191172881,1,14,3,0,0,0.783884836,0.216115164
YZAfESEbfcqyaV54ybOC+w==,Female,C1,Kolkata,BPS Cloud Data Platform,0,0,0,Marr.,53,1.25,0,328.5488408,1.308310753,1,14,3,0,0,0.785008536,0.214991464
qDki5kLqtB4oE9F3rY+sVQ==,Female,C1,Hyderabad,BPS ECM,0,0,0,Marr.,53,0,0,328.5488408,1.030378495,1,14,2.5,1,0,0.894526704,0.105473296
+gV7YyPCz7/QK8VICSqW9Q==,Female,C1,Chennai,BPS Big Data,0,0,0,Marr.,81,0,0,48.98663217,1.089658602,1,26,3,0,0,0.856390184,0.143609816
+MQ5V7Tt2HwO9UBYBg4Gbg==,Female,C2,Bangalore,BPS DM,0,0,0,Marr.,53,1,0,28.02521612,0.94151553,1,21,3,0,0,0.855970158,0.144029842
Low2fZ/EvHdlBaqkTOIgkQ==,Male,B3,Kolkata,BPS Oracle,0,6.406702396,0,Single,81,0.75,0,61.01151974,0.979887356,1,20,3,0,0,0.800336783,0.199663217
3h1gGGwCQAxn5yt3ThMUvA==,Female,B3,Gandhinagar,BPS DM,0,0,0,Marr.,53,2,0,61.01151974,0.712321073,1,20,3,0,0,0.947132567,0.052867433
mGj+yWi1ZxLSDVcqW77iJQ==,Male,B3,Bangalore,BPS DM,0,7.030945194,0,Marr.,53,2.25,0,7.030945194,0.847544828,1,21,2.5,1,0,0.836102538,0.163897462
zz7Lsp8LmgU5YHpN9xZufg==,Female,B3,Bangalore,BPS Oracle,0,0,0,Single,53,2,0,16.03318343,0.562564751,1,20,3,0,0,0.936511773,0.063488227
v47Qxs5pvvH1ERGfD/CHZA==,Female,B3,Bangalore,BPS Core BI,0,0,0,Marr.,81,4.5,0,328.5488408,0.909398031,1,20,3,0,0,0.878785755,0.121214245
2GvuGjcNOK4iRlIBU6EBDQ==,Male,B3,Chennai,BPS Oracle,0,2.004147929,0,Marr.,81,0,0,61.01151974,1.327326437,1,20,2.5,1,0,0.818074711,0.181925289
X3tnaZF1vC9vpRsumdMl6A==,Female,D3,Bangalore,BPS Mgmt and others,0,11.92632292,0,Single,81,0,0,19.05583277,0.985621622,1,26,2.5,1,0,0.982843189,0.017156811
aLZ72AkkPwSUJ23AIYd/FQ==,Male,B2,Chennai,BPS DM,0,1.971293045,0,Marr.,53,0.5,0,328.5488408,0.730445455,1,14,3,0,0,0.836731299,0.163268701
V/elv8Wrw6fD792q06GQsQ==,Male,B2,Bangalore,BPS Core BI,0,0,0,Marr.,53,1,0,328.5488408,1.014531818,1,14,3,0,0,0.809158306,0.190841694
ql+YKeSZ+8Y2yUZv1lQYjA==,Female,B2,Gandhinagar,BPS Cloud Data Platform,0,0,0,Single,53,1,0,328.5488408,0.923631818,1,13,3,0,0,0.668371418,0.331628582
7nCj1vhjFZdP5k6V2f746A==,Male,B1,Bangalore,BPS Core BI,0,0,0,Single,53,0,0,328.5488408,1.316750847,1,15,3,0,0,0.730788676,0.269211324
mzsXC0ghGS9sTVRRggWNMA==,Male,B2,Chennai,BPS DM,0,1.971293045,0,Single,53,5,0,328.5488408,0.650265909,1,15,2.5,-1,0,0.861930967,0.138069033
Hy+KcGQESvTha7m2J5jotw==,Female,B1,Pune,BPS Big Data,0,0,0,Single,53,0,0,16.03318343,1.308430508,1,15,3,0,0,0.814914519,0.185085481
egcxunrzRWS2AgojzprvcA==,Male,A5,Chennai,BPS MDM,0,0,0,Single,53,2,0,328.5488408,1.58473617,1,15,3,0,0,0.568926564,0.431073436
FFsimNgWGURGHrKKg7Y7wg==,Female,C2,Chennai,BPS Cloud Data Platform,0,8.016591716,0,Marr.,53,0,0,328.5488408,1.00632197,1,15,3,0,0,0.824362537,0.175637463
Tsg4mczEkD+iOsc47kJN+Q==,Male,B1,Chennai,BPS Core BI,0,0,0,Marr.,53,0,0,328.5488408,0.990172881,1,15,3,0,0,0.739988898,0.260011102
LprAKscdSE7Cfic0xaqB+w==,Male,B1,Chennai,BPS MDM,0,0,0,Single,53,0,0,328.5488408,1.048535593,1,15,3,0,0,0.634582506,0.365417494
bS3sqcQrSsXT/xVa38vG+Q==,Male,B1,Chennai,BPS DM,0,0,0,Single,53,0,0,4.008295858,0.817284746,1,15,2.5,1,0,0.816253982,0.183746018
e5gqzSBWDzhOEslNbOfVNg==,Male,B1,Bangalore,BPS Oracle,0,0,0,Single,53,5,0,7.030945194,0.817284746,1,15,2.5,1,1,0.428936006,0.571063994
ABIAcqUbZRW0FC4IAyYd9A==,Male,A5,Pune,BPS DM,0,0,0,Single,53,0,0,19.05583277,0.940846809,1,15,2.5,-1,0,0.566403095,0.433596905
6vHmyil3b+A8b0hPaAhQ0g==,Male,A5,Chennai,BPS Oracle,0,0.985646523,0,Single,53,2,0,19.05583277,0.940846809,1,15,3,0,1,0.343125104,0.656874896
oNF0tYbqQhJ0iCix+Xtilw==,Male,A5,Bangalore,BPS Oracle,0,0,0,Single,53,0,0,19.05583277,0.940846809,1,15,3,0,0,0.559957599,0.440042401
1YUo9MNZO428mNUl48yqxQ==,Male,B1,Bangalore,BPS DM,0,27.99236124,0,Marr.,53,0,0,328.5488408,0.855430508,1,15,3,0,0,0.704669539,0.295330461
PYixfwbQXUOx448jVm3x/Q==,Male,A5,Chennai,BPS DM,0,0,0,Single,53,0,0,19.05583277,0.940846809,1,15,3.5,1,0,0.783420734,0.216579266
fh9enpaoVlQ87BuKewLSYQ==,Male,A5,Chennai,BPS Cloud Data Platform,0,0,0,Single,53,1.666666667,0,19.05583277,0.940846809,1,15,3,0,1,0.436674613,0.563325387
/BlGrEJ2WVR2luHYdjPivQ==,Male,B1,Chennai,BPS Cloud Data Platform,0,0,0,Single,53,4,0,328.5488408,1.437801695,1,15,3,0,0,0.741416086,0.258583914
juEkl0FvX1YGKjtOwrwU5g==,Female,A5,Chennai,BPS Core BI,0,0,0,Single,53,8,0,19.05583277,0.940846809,1,15,3,0,0,0.555710266,0.444289734
5hjXI4OQ5znSx77sXD8ntg==,Female,B1,Chennai,BPS DS&A,0,0,0,Single,53,0,0,4.008295858,0.817284746,1,15,2.5,1,0,0.841349253,0.158650747
8C815i1JNz7FepGFp5DS8g==,Female,B1,Chennai,BPS DM,0,8.936528471,0,Marr.,81,2.333333333,0,328.5488408,0.773244068,1,15,3,0,0,0.934893217,0.065106783
PnTrHDqqLvxgUmSfsJMOHg==,Female,B2,Chennai,BPS DM,0,0,0,Marr.,53,2.333333333,0,328.5488408,0.9469625,1,15,3,0,0,0.821920872,0.178079128
uuOuUjtrLlcHRWrN68ITZQ==,Male,B2,Gandhinagar,BPS Oracle,0,0,0,Single,53,1,0,328.5488408,0.906960227,1,14,3,0,0,0.60623174,0.39376826
L8/xyknMchq5dw1QqgppXw==,Female,A5,Bangalore,BPS ECM,0,0,0,Single,53,0,0,328.5488408,1.488731915,1,14,3,0,0,0.796348021,0.203651979
ynr45WAqoFKIXwXo+Y/tdA==,Male,A5,Bangalore,BPS Big Data,0,0,0,Single,53,0,0,328.5488408,1.488731915,1,14,3.5,1,0,0.946596989,0.053403011
px2bjcEjBcx9qbtpEwJFvA==,Female,B2,Kolkata,BPS Oracle,0,0,0,Single,53,2,0,328.5488408,1.059595455,1,14,3,0,0,0.753430277,0.246569723
lexb9ly9SjPPkqOOy6omfQ==,Female,B1,Kolkata,BPS Cloud Data Platform,0,0,0,Marr.,53,2.5,0,328.5488408,1.251994915,1,14,3,0,0,0.891533971,0.108466029
mpyNKNmSY/pE6aqD7Vcx+Q==,Male,B1,Hyderabad,BPS ECM,0,0,0,Single,53,0,0,328.5488408,1.304094915,1,14,3,0,0,0.758171146,0.241828854
9MOrP1NZnEagB8QEvD8dpA==,Male,B3,Pune,BPS MDM,0,0,0,Marr.,53,0,0,328.5488408,1.321177011,1,14,3,0,0,0.708195156,0.291804844
wuitMz9I8MWfD6BXnboxSw==,Female,B2,Chennai,BPS DM,0,0,0,Marr.,53,0,0,328.5488408,0.792521591,1,14,1.5,-1,0,0.944096696,0.055903304
8b0LPmGEfo3+7wJDBnaUXw==,Male,B2,Chennai,BPS Cloud Data Platform,0,0,0,Single,53,0.5,0,328.5488408,1.266169318,1,14,3,0,0,0.729169756,0.270830244
zEkdJReR2QvuRTmiPBHtfg==,Female,B2,Bangalore,BPS Cloud Data Platform,0,0,0,Marr.,53,1,0,328.5488408,1.144354545,1,14,3,0,0,0.804636409,0.195363591
03kiDhGcdZEl0ro4ad7Mgg==,Male,B2,Pune,BPS Cloud Data Platform,0,16.52600669,0,Single,53,0.8,0,328.5488408,1.093590909,1,14,3,0,1,0.429994578,0.570005422
eYjvvmRBA/xaopcWFaf6mA==,Male,B2,Chennai,BPS DM,0,0,0,Marr.,53,0.5,0,328.5488408,0.931795455,1,15,3.5,1,0,0.83626313,0.16373687
AE3O63KRXDdEfC8fZ53Qyg==,Male,B2,Chennai,BPS Big Data,0,0,0,Single,53,3,0,328.5488408,1.235380682,1,15,3,0,0,0.569952871,0.430047129
soTVhLj7rS78eaz4XNIunQ==,Female,B1,Chennai,BPS Cloud Data Platform,0,0,0,Marr.,53,0.285714286,0,328.5488408,0.712925424,1,15,3,0,0,0.95884328,0.04115672
QnjOfH8ejfRrAnqj/kY+ig==,Female,A5,Chennai,BPS Oracle,0,0.985646523,0,Single,53,3,0,16.03318343,0.940846809,1,15,3,0,1,0.348428593,0.651571407
qT1jDAdjA/qFfiN3ucHrxg==,Female,B1,Chennai,BPS Oracle,0,26.02106819,0,Single,53,1,0,4.008295858,0.817284746,1,15,2.5,1,0,0.658938697,0.341061303
2DPK61O5dIrJgxL8DD/67g==,Male,A5,Bangalore,BPS Core BI,0,0,0,Single,53,0.666666667,0,16.03318343,0.940846809,1,15,3,0,0,0.698895672,0.301104328
L1zM0pxj+gfiUqG8ZCffBg==,Male,B1,Kolkata,BPS DM,0,36.04180784,0,Single,53,0,0,10.02073965,0.87660678,1,15,2,2,0,0.708024152,0.291975848
jhG6Vuj1XopY+PRvhUUX5g==,Male,B1,Bangalore,BPS DM,0,4.008295858,0,Single,53,0.333333333,0,10.02073965,0.87660678,1,15,2,2,0,0.550783901,0.449216099
Pjd+26zSnGSOf2XHqfDceg==,Male,A5,Kolkata,BPS Core BI,0,0,0,Single,53,0,0,22.04562722,0.878265957,1,15,3.5,-1,0,0.720962323,0.279037677
1EZ7znk+Eq9130HiN4Cmjg==,Male,A5,Chennai,BPS Core BI,0,8.016591716,0,Single,53,0,0,22.04562722,0.940848936,1,15,3,0,1,0.471845912,0.528154088
34rosMBKsQ58TTUsqfrB0w==,Female,B3,Pune,BPS Big Data,0,0,0,Marr.,81,0,0,328.5488408,1.229494253,1,16,2.5,1,0,0.913885197,0.086114803
8FlTkqh/+5xYjKIvEIN/9A==,Female,B1,Chennai,BPS Oracle,0,0.985646523,0,Single,53,0,0,28.02521612,0.880974576,1,16,2.5,1,0,0.629139949,0.370860051
vIxQTw6pOFH7R/kXPlT3Eg==,Male,B1,Chennai,BPS Core BI,0,0,0,Marr.,53,3,0,328.5488408,1.148413559,1,16,3,0,0,0.87249638,0.12750362
mIg3HcCrJ1Zl9jfhCOtACg==,Female,B2,Bangalore,BPS DM,0,0.985646523,0,Marr.,53,0,0,328.5488408,1.057688636,1,16,2.5,-1,0,0.694222745,0.305777255
ymj3XgT50Dha9bDQnpoKfg==,Female,B3,Chennai,BPS DM,0,3.94258609,0,Marr.,53,2.4,0,7.030945194,0.831813027,1,17,3,0,0,0.786260389,0.213739611
5aut6SqiYpLZLy1ZXgC11g==,Male,C1,Chennai,BPS Core BI,0,0,0,Marr.,53,1,0,22.04562722,1.297033333,1,17,3,0,0,0.913337033,0.086662967
NDmIIGeqUlkEnaIuKe09hw==,Male,B1,Bangalore,BPS Oracle,0,0,0,Single,53,0,0,28.02521612,0.95170678,1,17,2,2,0,0.8055305,0.1944695
3Jw7Yedh0Gk7nezI9nZQ3Q==,Female,B1,Bangalore,BPS Oracle,0,0,0,Single,53,0,0,28.02521612,0.982720339,1,17,2.5,1,0,0.893554307,0.106445693
lSUgZcO/NVoUf08n7/J80g==,Female,B1,Chennai,BPS Core BI,0,0,0,Single,53,0.5,0,31.04786546,0.851923729,1,17,3,0,0,0.723864867,0.276135133
clbSA1IN65QTT8lHdWa/uA==,Male,B1,Chennai,BPS DM,0,0,0,Single,53,0,0,34.03765991,0.851923729,1,17,3,0,0,0.702402483,0.297597517
2a9LhwUMNTUBCALlk31mkw==,Male,B2,Kolkata,BPS Big Data,0,0,0,Single,53,0,0,16.03318343,0.738090909,1,18,2,2,0,0.959626465,0.040373535
Or8P/EFXNowbDhWexB5rgg==,Female,C1,Pune,BPS MDM,0,0,0,Marr.,81,0,0,34.03765991,0.83144086,1,18,3,0,0,0.939256779,0.060743221
+aEUfu2A4jp14YM60Kd3pw==,Male,C1,Chennai,BPS Core BI,0,0.985646523,0,Marr.,81,2.5,0,7.030945194,0.52905914,1,19,3,0,0,0.974004265,0.025995735
JWS3igYntzp0eQgG4/6SLg==,Male,C1,Bangalore,BPS Big Data,0,0,0,Single,53,7.75,0,328.5488408,1.071371505,1,19,4,2,0,0.94073227,0.05926773
FhN5tgNEJusNqUl73cuQNQ==,Female,B3,Chennai,BPS DM,0,3.482617713,0,Single,81,0,0,328.5488408,0.836937931,1,13,3,0,0,0.634815416,0.365184584
e8+RRf71qB9aRr0W/fSrgw==,Female,A5,Bangalore,BPS Big Data,0,0.624242798,0,Single,53,0,1,328.5488408,1.430221277,1,13,3,0,0,0.935311929,0.064688071
mK3X7u4wt9wiOUGMoM8/3g==,Female,B3,Chennai,BPS Big Data,0,8.016591716,0,Marr.,53,7.333333333,0,328.5488408,0.80674023,1,13,3,0,0,0.787542954,0.212457046
nnAbwPgKnxAFEWKu37GKbA==,Male,B2,Kolkata,BPS DS&A,0,0,0,Single,53,2,0,10.02073965,0.910206818,1,16,3,0,0,0.811019462,0.188980538
Tjmh8l4KnlGQ0koRyMEmoA==,Female,A4,Chennai,BPS DM,0,0,0,Single,53,1,0,328.5488408,0.929043313,1,13,3,0,0,0.94730173,0.05269827
BlthezgWjM3xtZnBp+a4kQ==,Female,B1,Chennai,BPS Oracle,0,0.985646523,0,Single,53,0.5,0,19.05583277,0.879676271,1,16,2,2,0,0.541884607,0.458115393
qbdNQKk3uwFr4VdoFJmbrw==,Male,B1,Chennai,BPS Core BI,0,0,0,Single,53,1.333333333,0,19.05583277,0.990647458,1,16,2,2,0,0.757961879,0.242038121
9hQjjwHTamTnqLpyXFUi6A==,Female,A5,Chennai,BPS DM,0,0,0,Single,53,0,0,22.04562722,0.940848936,1,15,3,0,0,0.661037314,0.338962686
3ER49A9NnRGfzr6pKHeMoA==,Female,B1,Chennai,BPS Cloud Data Platform,0,0.985646523,0,Single,53,0,0,7.030945194,0.855211864,1,16,3,0,0,0.797533762,0.202466238
xPmqouyZdX0eYLDGbULVTQ==,Male,B1,Bangalore,BPS DM,0,14.98182714,0,Single,53,0,0,13.0105341,0.791862712,1,16,3,0,0,0.73871132,0.26128868
lyNbRQWq86XnwytLqkZZdQ==,Female,B1,Pune,BPS Core BI,0,0.985646523,0,Single,53,1,0,13.0105341,0.817286441,1,16,2.5,1,1,0.470225637,0.529774363
DtszJQUZsL/Fh+bxyhXxCw==,Male,A5,Chennai,BPS Core BI,0,0,0,Single,53,0,0,25.00256679,0.940847872,1,16,3,0,0,0.73131107,0.26868893
gZEaWIm2pD0mWHovArX16g==,Female,B1,Chennai,BPS ECM,0,0,0,Single,53,0,0,13.0105341,0.817286441,1,16,2.5,1,0,0.72538953,0.27461047
qYJ5HUhM/NkMUUdJdtX6uA==,Male,B1,Chennai,BPS Core BI,0,0,0,Single,53,0,0,13.0105341,0.87660678,1,16,2,2,0,0.788840956,0.211159044
sTYn8LryBgFkwqNZCUc+Lw==,Female,B1,Bangalore,BPS DM,0,0.985646523,0,Single,53,2.5,0,13.0105341,0.791862712,1,16,3,0,0,0.675380252,0.324619748
quC3k9n9sXKE7jl5CJAJyA==,Female,B1,Chennai,BPS Cloud Data Platform,0,0,0,Single,53,1.833333333,0,7.030945194,0.791862712,1,16,3,0,0,0.745935294,0.254064706
vCJ4UE2HpAQYZFcGPTktzQ==,Female,B1,Chennai,BPS Core BI,0,2.989794452,0,Single,53,2,0,16.03318343,0.964923729,1,16,2,2,1,0.391462491,0.608537509
9Kyk4vUQpycOBRYtVpvq5A==,Male,B1,Chennai,BPS DM,0,7.030945194,0,Single,53,0,0,16.03318343,0.908466102,1,16,2.5,1,1,0.426579629,0.573420371
UKUpypB33IizcrTsKUHTFw==,Female,B1,Bangalore,BPS Cloud Data Platform,0,13.0105341,0,Single,53,0,0,16.03318343,0.894616949,1,16,2,2,0,0.532378121,0.467621879
9OlwoXZD0B7yoUjjpp6O1A==,Female,B1,Bangalore,BPS Mgmt and others,0,34.00480503,0,Single,53,5,0,16.03318343,0.851925424,1,16,3,0,0,0.851595823,0.148404177
